Month_name,Region,Taxa,Probability,U,Q,Timesteps,Best,Worst,Group,Month,Percenttot,Window,MonthName
January,Delta,Dorosoma petenense,17.12013508,-0.07412398,2.695888892,1,9.189082309,28.72117596,Fish,1,3.8079635,Off,Jan
February,Delta,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,2,2.424885,Off,Feb
March,Delta,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,3,0.6881547,Off,Mar
April,Delta,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,4,0,Off,Apr
May,Delta,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,5,0.1162282,Off,May
June,Delta,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,6,0.3218921,Off,Jun
July,Delta,Dorosoma petenense,36.30731507,0.092943488,6.413466328,1,14.47460142,57.26092688,Fish,7,11.1401547,Off,Jul
August,Delta,Dorosoma petenense,30.93615184,-0.018859949,5.075053586,1,22.9119972,42.1364861,Fish,8,26.9961253,Key,Aug
September,Delta,Dorosoma petenense,23.50461637,-0.042877223,3.661170717,1,16.78844152,33.1321468,Fish,9,11.6852905,Key,Sep
October,Delta,Dorosoma petenense,26.19883124,-0.024229754,4.152619185,1,13.01976115,42.96635293,Fish,10,12.3619825,Key,Oct
November,Delta,Dorosoma petenense,25.81993796,0.07804492,4.14871957,1,18.57659315,35.4998064,Fish,11,19.4169503,Key,Nov
December,Delta,Dorosoma petenense,29.61047601,0.112827011,4.860866677,1,19.0692813,42.25392785,Fish,12,11.0403732,Off,Dec
January,Confluence,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,1,2.2303502,Off,Jan
February,Confluence,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,2,0.9336576,Off,Feb
March,Confluence,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,3,0.1383559,Off,Mar
April,Confluence,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,4,0,Off,Apr
May,Confluence,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,5,0.0335072,Off,May
June,Confluence,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,6,0,Off,Jun
July,Confluence,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,7,8.9691485,Off,Jul
August,Confluence,Dorosoma petenense,35.22064897,-0.100002399,5.790429609,1,20.17102659,51.7983377,Fish,8,46.4321558,Key,Aug
September,Confluence,Dorosoma petenense,29.76721344,-0.003838341,4.877482644,1,17.45523867,46.05897012,Fish,9,10.2734537,Off,Sep
October,Confluence,Dorosoma petenense,29.16135699,0.051626161,4.768051781,1,10.07913433,50.77995614,Fish,10,7.3768535,Off,Oct
November,Confluence,Dorosoma petenense,26.63761181,-0.085733538,4.073071201,1,16.45144681,39.99074564,Fish,11,11.4968203,Key,Nov
December,Confluence,Dorosoma petenense,30.92013827,0.001943388,5.12714592,1,21.00201115,44.58306393,Fish,12,12.1156973,Key,Dec
January,Suisun,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,1,3.9355755,Off,Jan
February,Suisun,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,2,2.1082131,Off,Feb
March,Suisun,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,3,0.3360828,Off,Mar
April,Suisun,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,4,0.3799427,Off,Apr
May,Suisun,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,5,0,Off,May
June,Suisun,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,6,0,Off,Jun
July,Suisun,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,7,0,Off,Jul
August,Suisun,Dorosoma petenense,NA,NA,NA,1,NA,NA,Fish,8,7.1148767,Off,Aug
September,Suisun,Dorosoma petenense,27.80182365,-0.06083906,4.343983498,1,9.874841249,49.55666684,Fish,9,12.3709069,Off,Sep
October,Suisun,Dorosoma petenense,21.67805716,0.046889716,3.475654283,1,6.883846855,42.59648925,Fish,10,20.1453415,Key,Oct
November,Suisun,Dorosoma petenense,14.44959495,-0.007969964,2.476637846,1,3.763063546,34.111273,Fish,11,25.3071175,Key,Nov
December,Suisun,Dorosoma petenense,20.79867732,-0.068804544,3.199989601,1,5.909622063,42.29804309,Fish,12,28.3019432,Key,Dec
January,Delta,Morone saxatilis,NA,NA,NA,1,NA,NA,Fish,1,11.860181,Key,Jan
February,Delta,Morone saxatilis,NA,NA,NA,1,NA,NA,Fish,2,9.614518,Key,Feb
March,Delta,Morone saxatilis,NA,NA,NA,1,NA,NA,Fish,3,4.6942819,Off,Mar
